"Carimbo de data/hora";"ID da resposta";"Endereço de e-mail";"Qual é a sua idade (em anos)?";"Quantos dispositivos eletrônicos você possui (celular, notebook, tablet, smartwatch etc.)?";"Quantas horas por dia você usa a internet?";"Quantas horas por dia você passa em redes sociais?";"Quantos aplicativos de redes sociais você tem instalados no celular?";"Há quantos anos você possui um smartphone?";"Quanto você gasta, em média por mês, com assinaturas ou serviços de tecnologia, em R$?";"Com que idade você começou a usar a internet?";"Quantas horas de sono você perde, em média por semana, por causa do uso de tecnologia à noite?";"Quantas vezes você trocou sua senha de e-mail ou redes sociais no último ano?";"Qual é o seu gênero?";"Qual é a sua escolaridade?";"Você utiliza alguma ferramenta de Inteligência Artificial?";"Qual ferramenta de IA você mais utiliza?";"Com que frequência você utiliza ferramentas de IA?";"Para qual finalidade você mais utiliza IA?";"Você confia nas informações geradas por ferramentas de IA?";"Você acredita que a IA vai substituir empregos humanos no futuro?";"Você sente que depende da tecnologia ou do celular para realizar tarefas do dia a dia?";"Você já usou a tecnologia para enganar ou prejudicar alguém?";"Você já foi vítima de algum golpe ou fraude digital?";"Você utiliza autenticação de dois fatores nas suas contas online?";"Você já compartilhou informações sem verificar se eram verdadeiras?";"Qual sistema operacional de celular você utiliza?";"Você acredita que a tecnologia trouxe mais benefícios do que malefícios para a sociedade?"
"01/09/2026 09:10:00";"R0011";"respondente0011@example.invalid";"45";"3";"17";"10,9";"1";"11";"13,7";"35";"4,9";"6";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"01/09/2026 09:17:00";"R0012";"respondente0012@example.invalid";"52";"8";"20,7";"1,1";"4";"16";"15,07";"32";"6,6";"1";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"01/09/2026 09:24:00";"R0013";"respondente0013@example.invalid";"59";"5";"2,9";"3,4";"7";"1";"16,44";"29";"8,3";"4";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 09:31:00";"R0014";"respondente0014@example.invalid";"23";"2";"6,6";"5,7";"10";"1";"17,81";"22";"10";"7";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"01/09/2026 09:38:00";"R0015";"respondente0015@example.invalid";"30";"7";"10,3";"8";"3";"11";"19,18";"9";"11,7";"2";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Sim";"Sim";"Não";"iOS";"Concordo totalmente"
"01/09/2026 09:45:00";"R0016";"respondente0016@example.invalid";"37";"4";"14";"10,3";"6";"16";"20,55";"10";"1,3";"5";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"01/09/2026 09:52:00";"R0017";"respondente0017@example.invalid";"44";"1";"17,7";"0,5";"9";"1";"21,92";"25";"3";"0";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"01/09/2026 09:59:00";"R0018";"respondente0018@example.invalid";"51";"6";"21,4";"2,8";"2";"6";"23,29";"8";"4,7";"3";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 10:06:00";"R0019";"respondente0019@example.invalid";"58";"3";"3,6";"5,1";"5";"11";"24,66";"44";"6,4";"6";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"01/09/2026 10:13:00";"R0020";"respondente0020@example.invalid";"22";"8";"7,3";"7,4";"8";"12";"26,03";"10";"8,1";"1";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"01/09/2026 10:20:00";"R0021";"respondente0021@example.invalid";"29";"5";"11";"9,7";"1";"6";"27,4";"9";"9,8";"4";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"01/09/2026 10:27:00";"R0022";"respondente0022@example.invalid";"36";"2";"14,7";"12";"4";"6";"28,77";"19";"11,5";"7";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Sim";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 10:34:00";"R0023";"respondente0023@example.invalid";"43";"7";"18,4";"2,2";"7";"11";"30,14";"19";"1,1";"2";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"01/09/2026 10:41:00";"R0024";"respondente0024@example.invalid";"50";"4";"22,1";"4,5";"10";"16";"31,51";"33";"2,8";"5";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"01/09/2026 10:48:00";"R0025";"respondente0025@example.invalid";"57";"1";"4,3";"6,8";"3";"1";"32,88";"9";"4,5";"0";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 10:55:00";"R0026";"respondente0026@example.invalid";"21";"6";"8";"9,1";"6";"5";"34,25";"8";"6,2";"3";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"01/09/2026 11:02:00";"R0027";"respondente0027@example.invalid";"28";"3";"11,7";"11,4";"9";"5";"35,62";"15";"7,9";"6";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"01/09/2026 11:09:00";"R0028";"respondente0028@example.invalid";"35";"8";"15,4";"1,6";"2";"16";"36,99";"32";"9,6";"1";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"01/09/2026 11:16:00";"R0029";"respondente0029@example.invalid";"42";"5";"19,1";"3,9";"5";"1";"38,36";"17";"11,3";"4";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Sim";"Não";"Sim";"iOS";"Concordo"
"01/09/2026 11:23:00";"R0030";"respondente0030@example.invalid";"49";"2";"22,8";"6,2";"8";"6";"39,73";"16";"0,9";"7";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 11:30:00";"R0031";"respondente0031@example.invalid";"56";"7";"5";"8,5";"1";"11";"41,1";"29";"2,6";"2";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"01/09/2026 11:37:00";"R0032";"respondente0032@example.invalid";"20";"4";"8,7";"10,8";"4";"6";"42,47";"16";"4,3";"5";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"01/09/2026 11:44:00";"R0033";"respondente0033@example.invalid";"27";"1";"12,4";"1";"7";"8";"43,84";"5";"6";"0";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"01/09/2026 11:51:00";"R0034";"respondente0034@example.invalid";"34";"6";"16,1";"3,3";"10";"6";"45,21";"20";"7,7";"3";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 11:58:00";"R0035";"respondente0035@example.invalid";"41";"3";"19,8";"5,6";"3";"11";"46,58";"19";"9,4";"6";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"01/09/2026 12:05:00";"R0036";"respondente0036@example.invalid";"48";"8";"2";"7,9";"6";"16";"47,95";"46";"11,1";"1";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Sim";"Não";"Não";"Android";"Discordo"
"01/09/2026 12:12:00";"R0037";"respondente0037@example.invalid";"55";"5";"5,7";"10,2";"9";"1";"49,32";"51";"0,7";"4";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 12:19:00";"R0038";"respondente0038@example.invalid";"19";"2";"9,4";"0,4";"2";"6";"50,69";"6";"2,4";"7";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"01/09/2026 12:26:00";"R0039";"respondente0039@example.invalid";"26";"7";"13,1";"2,7";"5";"15";"52,06";"24";"4,1";"2";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"01/09/2026 12:33:00";"R0040";"respondente0040@example.invalid";"33";"4";"16,8";"5";"8";"16";"53,43";"14";"5,8";"5";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"01/09/2026 12:40:00";"R0041";"respondente0041@example.invalid";"40";"1";"20,5";"7,3";"1";"1";"54,8";"25";"7,5";"0";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"01/09/2026 12:47:00";"R0042";"respondente0042@example.invalid";"47";"6";"2,7";"9,6";"4";"6";"56,17";"36";"9,2";"3";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 12:54:00";"R0043";"respondente0043@example.invalid";"54";"3";"6,4";"11,9";"7";"11";"57,54";"26";"10,9";"6";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Sim";"Sim";"Não";"Outro";"Concordo"
"01/09/2026 13:01:00";"R0044";"respondente0044@example.invalid";"18";"8";"10,1";"2,1";"10";"8";"58,91";"10";"0,5";"1";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"01/09/2026 13:08:00";"R0045";"respondente0045@example.invalid";"25";"5";"13,8";"4,4";"3";"11";"60,28";"9";"2,2";"4";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"01/09/2026 13:15:00";"R0046";"respondente0046@example.invalid";"32";"2";"17,5";"6,7";"6";"6";"61,65";"14";"3,9";"7";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 13:22:00";"R0047";"respondente0047@example.invalid";"39";"7";"21,2";"9";"9";"11";"63,02";"35";"5,6";"2";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"01/09/2026 13:29:00";"R0048";"respondente0048@example.invalid";"46";"4";"3,4";"11,3";"2";"16";"64,39";"30";"7,3";"5";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"01/09/2026 13:36:00";"R0049";"respondente0049@example.invalid";"53";"1";"7,1";"1,5";"5";"1";"65,76";"5";"9";"0";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 13:43:00";"R0050";"respondente0050@example.invalid";"60";"6";"10,8";"3,8";"8";"6";"67,13";"49";"10,7";"3";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Sim";"Não";"Sim";"Android";"Concordo"
"01/09/2026 13:50:00";"R0051";"respondente0051@example.invalid";"24";"3";"14,5";"6,1";"1";"13";"68,5";"23";"0,3";"6";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"01/09/2026 13:57:00";"R0052";"respondente0052@example.invalid";"31";"8";"18,2";"8,4";"4";"16";"69,87";"20";"2";"1";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"01/09/2026 14:04:00";"R0053";"respondente0053@example.invalid";"38";"5";"21,9";"10,7";"7";"1";"71,24";"16";"3,7";"4";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"01/09/2026 14:11:00";"R0054";"respondente0054@example.invalid";"45";"2";"4,1";"0,9";"10";"6";"72,61";"28";"5,4";"7";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 14:18:00";"R0055";"respondente0055@example.invalid";"52";"7";"7,8";"3,2";"3";"11";"73,98";"35";"7,1";"2";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"01/09/2026 14:25:00";"R0056";"respondente0056@example.invalid";"59";"4";"11,5";"5,5";"6";"16";"75,35";"16";"8,8";"5";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"01/09/2026 14:32:00";"R0057";"respondente0057@example.invalid";"23";"1";"15,2";"7,8";"9";"8";"76,72";"9";"10,5";"0";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Sim";"Sim";"Sim";"iOS";"Concordo"
"01/09/2026 14:39:00";"R0058";"respondente0058@example.invalid";"30";"6";"18,9";"10,1";"2";"6";"78,09";"7";"0,1";"3";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 14:46:00";"R0059";"respondente0059@example.invalid";"37";"3";"22,6";"0,3";"5";"11";"79,46";"35";"1,8";"6";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"01/09/2026 14:53:00";"R0060";"respondente0060@example.invalid";"44";"8";"4,8";"2,6";"8";"16";"80,83";"30";"3,5";"1";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"01/09/2026 15:00:00";"R0061";"respondente0061@example.invalid";"51";"5";"8,5";"4,9";"1";"1";"82,2";"21";"5,2";"4";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 15:07:00";"R0062";"respondente0062@example.invalid";"58";"2";"12,2";"7,2";"4";"6";"83,57";"40";"6,9";"7";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"01/09/2026 15:14:00";"R0063";"respondente0063@example.invalid";"22";"7";"15,9";"9,5";"7";"11";"84,94";"7";"8,6";"2";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"01/09/2026 15:21:00";"R0064";"respondente0064@example.invalid";"29";"4";"19,6";"11,8";"10";"12";"86,31";"26";"10,3";"5";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Sim";"Sim";"Não";"Android";"Neutro"
"01/09/2026 15:28:00";"R0065";"respondente0065@example.invalid";"36";"1";"1,8";"2";"3";"1";"87,68";"27";"12";"0";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"01/09/2026 15:35:00";"R0066";"respondente0066@example.invalid";"43";"6";"5,5";"4,3";"6";"6";"89,05";"36";"1,6";"3";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 15:42:00";"R0067";"respondente0067@example.invalid";"50";"3";"9,2";"6,6";"9";"11";"90,42";"11";"3,3";"6";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"01/09/2026 15:49:00";"R0068";"respondente0068@example.invalid";"57";"8";"12,9";"8,9";"2";"16";"91,79";"14";"5";"1";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"01/09/2026 15:56:00";"R0069";"respondente0069@example.invalid";"21";"5";"16,6";"11,2";"5";"11";"93,16";"17";"6,7";"4";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"01/09/2026 16:03:00";"R0070";"respondente0070@example.invalid";"28";"2";"20,3";"1,4";"8";"4";"94,53";"5";"8,4";"7";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 16:10:00";"R0071";"respondente0071@example.invalid";"35";"7";"2,5";"3,7";"1";"11";"95,9";"25";"10,1";"2";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Sim";"Sim";"Não";"iOS";"Concordo"
"01/09/2026 16:17:00";"R0072";"respondente0072@example.invalid";"42";"4";"6,2";"6";"4";"16";"97,27";"9";"11,8";"5";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"01/09/2026 16:24:00";"R0073";"respondente0073@example.invalid";"49";"1";"9,9";"8,3";"7";"1";"98,64";"5";"1,4";"0";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 16:31:00";"R0074";"respondente0074@example.invalid";"56";"6";"13,6";"10,6";"10";"6";"100,01";"43";"3,1";"3";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"01/09/2026 16:38:00";"R0075";"respondente0075@example.invalid";"20";"3";"17,3";"0,8";"3";"1";"101,38";"9";"4,8";"6";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"01/09/2026 16:45:00";"R0076";"respondente0076@example.invalid";"27";"8";"21";"3,1";"6";"2";"102,75";"16";"6,5";"1";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"01/09/2026 16:52:00";"R0077";"respondente0077@example.invalid";"34";"5";"3,2";"5,4";"9";"1";"104,12";"29";"8,2";"4";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"01/09/2026 16:59:00";"R0078";"respondente0078@example.invalid";"41";"2";"6,9";"7,7";"2";"6";"105,49";"24";"9,9";"7";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Sim";"Sim";"Não";"Android";"Concordo totalmente"
"01/09/2026 17:06:00";"R0079";"respondente0079@example.invalid";"48";"7";"10,6";"10";"5";"11";"106,86";"46";"11,6";"2";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
